SchoolName,SchoolShortName,Level,LogoURL
Cesar Chavez,CC,Elementary,https://files.smartsites.parentsquare.com/9154/CC_logo@3x_1749069437.png
Coral Mountain,CMA,Elementary,https://files.smartsites.parentsquare.com/9154/CMA_logo@3x_1749069438.png
John Kelley,JK,Elementary,https://files.smartsites.parentsquare.com/9154/JK_logo@3x_1749069439.png
Las Palmitas,LP,Elementary,https://files.smartsites.parentsquare.com/9154/canva_93356.png
Mecca,MA,Elementary,https://files.smartsites.parentsquare.com/9154/M_logo@3x_1749069440.png
Mountain Vista,MV,Elementary,https://files.smartsites.parentsquare.com/9154/MV_logo@3x_1749069206.png
Oasis,OA,Elementary,https://files.smartsites.parentsquare.com/9154/O_logo@3x_1749069440.png
Palm View,PV,Elementary,https://files.smartsites.parentsquare.com/9154/PV_logo@2x_1749069441.png
Peter Pendleton,PP,Elementary,https://files.smartsites.parentsquare.com/9154/PP_logo@2x_1749069441.png
Saul Martinez,SM,Elementary,https://files.smartsites.parentsquare.com/9154/SM_logo@2x_1749069441.png
Sea View,SV,Elementary,https://files.smartsites.parentsquare.com/9154/SV_logo@3x_1749069441.png
Valle del Sol,VDS,Elementary,https://files.smartsites.parentsquare.com/9154/VDS_logo@3x_1749069448.png
Valley View,VV,Elementary,https://files.smartsites.parentsquare.com/9154/VV_logoSq4_1749069208.png
Westside,WS,Elementary,https://files.smartsites.parentsquare.com/9154/W_logo@3x_1749069208.png
Bobby Duke,BD,Middle,https://files.smartsites.parentsquare.com/9154/BB_logo@3x_1749069437.png
Cahuilla Desert Academy,CDA,Middle,https://files.smartsites.parentsquare.com/9154/CDA_logo@3x_1749069203.png
Toro Canyon,TC,Middle,https://files.smartsites.parentsquare.com/9154/TC_logo@3x_1749069442.png
West Shores,WS,Middle,
